fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
4adf8077f964a5202d7b21e3,Fish and Chips Shop,LikelyOpen,151,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Kabul Express,43.668614,-79.317268
4fff1f96e4b042ae8acddca5,Indian Restaurant,VeryLikelyOpen,657,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Fahrenheit Coffee,43.67205,-79.322451
4b2bd898f964a52042bc24e3,Bar,VeryLikelyOpen,585,"1471 Gerrard St E, Toronto ON M4L 2A1",Kinka Izakaya,43.672346,-79.320804
4ae5f583f964a52084a321e3,Burger Joint,VeryLikelyOpen,595,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",The George Street Diner,43.666763,-79.315564
4add3b20f964a520b16421e3,Diner,VeryLikelyOpen,695,"1483 Queen St E, Toronto ON M4L 1E2",House on Parliament,43.665121,-79.321347
509e9ef6e4b0ab175389a6c5,Egyptian Restaurant,VeryLikelyOpen,469,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Hokkaido Ramen Santouka,43.671682,-79.328462
574ad72238fa943556d93b8e,Café,VeryLikelyOpen,774,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Gyu-Kaku BBQ,43.66388,-79.326107
5615b6c4498e3c32c67ad78f,Pizzeria,VeryLikelyOpen,647,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Blaze Pizza,43.666623,-79.316861
51755dc7498ece19b7261641,Ice Cream Parlor,LikelyOpen,779,"1698 Queen St W, Scarborough ON M6R 1B3",Banh Mi Boys,43.667418,-79.312824
4ae4a9baf964a520e69c21e3,Bistro,VeryLikelyOpen,578,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Chew Chew's Diner,43.671324,-79.32719
506880f3e8893b5a347c4043,Fish and Chips Shop,VeryLikelyOpen,738,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Triple a Bar,43.668614,-79.317268
5be56fc046e1b6002c15ca16,Indian Restaurant,VeryLikelyOpen,615,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Starbucks,43.67205,-79.322451
4db4a1de0cb6729b6a978664,Bar,VeryLikelyOpen,790,"1471 Gerrard St E, Toronto ON M4L 2A1",Tim Hortons,43.672346,-79.320804
4c8d2fadf87e224ba3873b05,Burger Joint,LikelyOpen,746,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Double Sushi Japanese Restaurant,43.666763,-79.315564
4f32fcb9e4b0547a0d656ca7,Diner,VeryLikelyOpen,461,"1483 Queen St E, Toronto ON M4L 1E2",Tim Hortons,43.665121,-79.321347
4c23fb5cb7b8a59314ce3be8,Egyptian Restaurant,VeryLikelyOpen,886,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Popeye's Louisiana Kitchen,43.671682,-79.328462
4b7ed401f964a5207e0230e3,Café,LikelyOpen,733,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Pizza Pizza,43.66388,-79.326107
5b7e6a5d492814002c86b3c1,Pizzeria,LikelyOpen,308,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Mr.Sub,43.666623,-79.316861
63cae5e4f092e2235b59b77b,Ice Cream Parlor,VeryLikelyOpen,316,"1698 Queen St W, Scarborough ON M6R 1B3",Il Cucina,43.667418,-79.312824
5dcc2de828d93e0008ede926,Bistro,VeryLikelyOpen,347,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Tim Hortons,43.671324,-79.32719
4d39da7d979ea143c9108afc,Fish and Chips Shop,LikelyOpen,357,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Wing Wing Restaurant,43.668614,-79.317268
52418b0b7e48222eea81d2d2,Indian Restaurant,VeryLikelyOpen,505,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Pukka,43.67205,-79.322451
53553241498ec641e3a6b798,Bar,VeryLikelyOpen,261,"1471 Gerrard St E, Toronto ON M4L 2A1",Baker and Scone,43.672346,-79.320804
